[24/03/2026, 21:50:27] Yo: 48009295433765@lid
[22/04/2026, 04:01:59] Marcos Mecanico Galeana: Buenas noches disculpa la ora aun ocupas la víscera de tu carro sentra??
[14/05/2026, 23:42:12] Marcos Mecanico Galeana: Buenas noches disculpa la ora aun ocupas la víscera de tu carro sentra??
[14/05/2026, 23:42:12] Yo: 48009295433765@lid
[15/05/2026, 22:47:24] Marcos Mecanico Galeana: Buenas noches disculpa la ora aun ocupas la víscera de tu carro sentra??
[15/05/2026, 22:47:24] Yo: 48009295433765@lid
[16/05/2026, 05:04:11] Marcos Mecanico Galeana: Buenas noches disculpa la ora aun ocupas la víscera de tu carro sentra??
[16/05/2026, 05:04:11] Yo: 48009295433765@lid
[16/05/2026, 05:09:45] Marcos Mecanico Galeana: Buenas noches disculpa la ora aun ocupas la víscera de tu carro sentra??
[16/05/2026, 05:09:45] Yo: 48009295433765@lid
[16/05/2026, 05:58:03] Marcos Mecanico Galeana: Buenas noches disculpa la ora aun ocupas la víscera de tu carro sentra??
[16/05/2026, 05:58:03] Yo: 48009295433765@lid
[16/05/2026, 22:40:30] Marcos Mecanico Galeana: Buenas noches disculpa la ora aun ocupas la víscera de tu carro sentra??
[16/05/2026, 22:40:30] Yo: 48009295433765@lid
[17/05/2026, 18:28:55] Marcos Mecanico Galeana: Buenas noches disculpa la ora aun ocupas la víscera de tu carro sentra??
[17/05/2026, 18:28:55] Yo: 48009295433765@lid
[18/05/2026, 05:19:25] Marcos Mecanico Galeana: Buenas noches disculpa la ora aun ocupas la víscera de tu carro sentra??
[18/05/2026, 05:19:25] Yo: 48009295433765@lid
