Papa, reqeson, Rajas, picadillo, pollo y combinadas
Censillas, ensalada, tinga, carne 🤤
[14/05/2026, 23:48:00] Yo: Par que traigan cambio porfis
[15/05/2026, 18:03:58] SANDY Tostadas Y Tacos Sábado: [Archivo adjunto]
[15/05/2026, 22:47:41] Yo: Par que traigan cambio porfis
[16/05/2026, 04:20:06] SANDY Tostadas Y Tacos Sábado: Sábado de rico pozole de puerco tacos, Tostadas y qesadillas y rica agua fresca   abra tamal de cesos 🤤 agan sunpedido uo apartado los esperamos Apartir de las 10 :00 am
[16/05/2026, 04:20:06] SANDY Tostadas Y Tacos Sábado: [Archivo adjunto]
[16/05/2026, 04:21:05] SANDY Tostadas Y Tacos Sábado: Super  rica
[16/05/2026, 04:24:28] SANDY Tostadas Y Tacos Sábado: Tacos y qesadillas
[16/05/2026, 04:25:01] SANDY Tostadas Y Tacos Sábado: Tostadas
[16/05/2026, 05:04:28] Yo: Par que traigan cambio porfis
[16/05/2026, 05:10:12] Yo: Par que traigan cambio porfis
[16/05/2026, 05:58:20] Yo: Par que traigan cambio porfis
