Y a las mamis del grupo 
Felicidades 💐 
Dios las siga bendiciendo con sabiduría, valentía y fortaleza para seguir haciendo ese gran rol que transforma el mundo.
Mujeres virtuosas, valientes; la fé crezca, y el Espíritu Santo las abrace y guíe para seguir adelante ante los retos del día a día y el desafío de entregar amor a los pequeños de los que somos responsables.
Un gran abrazo y mi reconocimiento porque no hay mamá perfecta, sino mamás que aman desde lo que son.
Las quiero y me da gusto saber que todas caminamos hacia adelante, aunque no siempre todo esté bien .🫂
Primero Dios seguiremos adelante.
Disfruten💫
[23/02/2026, 18:42:07] Yo: 81467040391320@lid
[24/02/2026, 00:42:07] Yo: 81467040391320@lid
[02/03/2026, 10:00:06] Yo: 81467040391320@lid
[02/03/2026, 16:00:06] Yo: 81467040391320@lid
[04/03/2026, 10:53:13] Yo: 81467040391320@lid
[04/03/2026, 16:53:13] Yo: 81467040391320@lid
[06/03/2026, 08:27:09] Yo: 81467040391320@lid
[06/03/2026, 10:40:03] Yo: 81467040391320@lid
[06/03/2026, 14:27:09] Yo: 81467040391320@lid
[06/03/2026, 16:40:03] Yo: 81467040391320@lid
[09/03/2026, 08:17:41] Yo: 81467040391320@lid
[09/03/2026, 14:17:41] Yo: 81467040391320@lid
[10/03/2026, 09:02:37] Yo: 81467040391320@lid
[10/03/2026, 15:02:37] Yo: 81467040391320@lid
[12/03/2026, 12:59:48] Yo: 81467040391320@lid
[12/03/2026, 18:59:48] Yo: 81467040391320@lid
[13/03/2026, 10:32:32] Yo: 81467040391320@lid
[13/03/2026, 16:32:32] Yo: 81467040391320@lid
[18/03/2026, 11:01:13] Yo: 81467040391320@lid
[18/03/2026, 17:01:13] Yo: 81467040391320@lid
[19/03/2026, 08:28:26] Yo: 81467040391320@lid
[19/03/2026, 14:28:26] Yo: 81467040391320@lid
[20/03/2026, 12:39:36] Yo: 81467040391320@lid
[20/03/2026, 18:39:36] Yo: 81467040391320@lid
[21/03/2026, 16:37:49] Yo: 81467040391320@lid
[21/03/2026, 22:37:49] Yo: 81467040391320@lid
[23/03/2026, 09:16:41] Yo: 81467040391320@lid
[23/03/2026, 15:16:41] Yo: 81467040391320@lid
[23/03/2026, 18:21:35] Yo: 81467040391320@lid
[24/03/2026, 00:21:35] Yo: 81467040391320@lid
[24/03/2026, 08:30:25] Yo: 81467040391320@lid
[24/03/2026, 14:30:25] Yo: 81467040391320@lid
[25/03/2026, 16:55:59] Yo: 81467040391320@lid
[25/03/2026, 22:55:59] Yo: 81467040391320@lid
[14/04/2026, 18:36:51] Yo: 237430389096506@lid
[15/04/2026, 00:36:51] Yo: 237430389096506@lid
[15/04/2026, 19:51:49] Yo: 200227248152736@lid
[16/04/2026, 01:51:49] Yo: 200227248152736@lid
[24/04/2026, 10:18:20] Yo: 81467040391320@lid
[24/04/2026, 16:18:20] Yo: 81467040391320@lid
[01/05/2026, 14:31:12] Yo: 249700976472185@lid
[01/05/2026, 16:30:59] Yo: 249700976472185@lid
[01/05/2026, 17:01:41] Yo: 249700976472185@lid
[01/05/2026, 17:59:13] Yo: 249700976472185@lid
[01/05/2026, 18:00:13] Yo: 249700976472185@lid
[01/05/2026, 20:31:12] Yo: 249700976472185@lid
[01/05/2026, 22:30:59] Yo: 249700976472185@lid
[01/05/2026, 23:00:29] Yo: 249700976472185@lid
[01/05/2026, 23:01:41] Yo: 249700976472185@lid
[01/05/2026, 23:59:13] Yo: 249700976472185@lid
[02/05/2026, 00:00:13] Yo: 249700976472185@lid
[02/05/2026, 05:00:29] Yo: 249700976472185@lid
[10/05/2026, 09:12:27] Cesia Miranda: Primas buenos días a todas.
[10/05/2026, 09:24:15] Rox: Gracias prima, felicidades a todas las mamás y mamacitas! Y por cierto Cesy, espero hayas tenido un muy feliz cumpleaños! Yo sé que fue el 8, pero más vale tarde que nunca! Doble felicitación!!! Las quiero un montón chamacas! Un abrazo!
[10/05/2026, 09:24:56] Cesia Miranda: Gracias 😃 prima.🥰🥰
[10/05/2026, 12:44:38] Jamin Miranda: [Archivo adjunto]
[10/05/2026, 12:44:40] Jamin Miranda: [Archivo adjunto]
[10/05/2026, 15:12:27] Cesia Miranda: Primas buenos días a todas.
[10/05/2026, 15:24:15] Rox: Gracias prima, felicidades a todas las mamás y mamacitas! Y por cierto Cesy, espero hayas tenido un muy feliz cumpleaños! Yo sé que fue el 8, pero más vale tarde que nunca! Doble felicitación!!! Las quiero un montón chamacas! Un abrazo!
[10/05/2026, 15:24:56] Cesia Miranda: Gracias 😃 prima.🥰🥰
[10/05/2026, 16:36:43] Yo: [Archivo adjunto]
[10/05/2026, 18:44:38] Jamin Miranda: [Archivo adjunto]
[10/05/2026, 18:44:40] Jamin Miranda: [Archivo adjunto]
[10/05/2026, 22:36:43] Yo: [Archivo adjunto]
[14/05/2026, 23:24:49] Yo: [Archivo adjunto]
[14/05/2026, 23:24:49] Jamin Miranda: [Archivo adjunto]
