[23/02/2026, 18:42:07] Yo: 81467040391320@lid
[24/02/2026, 00:42:07] Yo: 81467040391320@lid
[02/03/2026, 10:00:06] Yo: 81467040391320@lid
[02/03/2026, 16:00:06] Yo: 81467040391320@lid
[04/03/2026, 10:53:13] Yo: 81467040391320@lid
[04/03/2026, 16:53:13] Yo: 81467040391320@lid
[06/03/2026, 08:27:09] Yo: 81467040391320@lid
[06/03/2026, 10:40:03] Yo: 81467040391320@lid
[06/03/2026, 14:27:09] Yo: 81467040391320@lid
[06/03/2026, 16:40:03] Yo: 81467040391320@lid
[09/03/2026, 08:17:41] Yo: 81467040391320@lid
[09/03/2026, 14:17:41] Yo: 81467040391320@lid
[10/03/2026, 09:02:37] Yo: 81467040391320@lid
[10/03/2026, 15:02:37] Yo: 81467040391320@lid
[12/03/2026, 12:59:48] Yo: 81467040391320@lid
[12/03/2026, 18:59:48] Yo: 81467040391320@lid
[13/03/2026, 10:32:32] Yo: 81467040391320@lid
[13/03/2026, 16:32:32] Yo: 81467040391320@lid
[18/03/2026, 11:01:13] Yo: 81467040391320@lid
[18/03/2026, 17:01:13] Yo: 81467040391320@lid
[19/03/2026, 08:28:26] Yo: 81467040391320@lid
[19/03/2026, 14:28:26] Yo: 81467040391320@lid
[20/03/2026, 12:39:36] Yo: 81467040391320@lid
[20/03/2026, 18:39:36] Yo: 81467040391320@lid
[21/03/2026, 16:37:49] Yo: 81467040391320@lid
[21/03/2026, 22:37:49] Yo: 81467040391320@lid
[23/03/2026, 09:16:41] Yo: 81467040391320@lid
[23/03/2026, 15:16:41] Yo: 81467040391320@lid
[23/03/2026, 18:21:35] Yo: 81467040391320@lid
[24/03/2026, 00:21:35] Yo: 81467040391320@lid
[24/03/2026, 08:30:25] Yo: 81467040391320@lid
[24/03/2026, 14:30:25] Yo: 81467040391320@lid
[25/03/2026, 16:55:59] Yo: 81467040391320@lid
[25/03/2026, 22:55:59] Yo: 81467040391320@lid
[24/04/2026, 10:18:20] Yo: 81467040391320@lid
[24/04/2026, 16:18:20] Yo: 81467040391320@lid
[03/05/2026, 20:59:41] Yo: Hola hola! Cómo estás?
[03/05/2026, 21:00:45] Yo: Te cuento que mi hermana se golpeó un dedo y se le cayó media uña del pie pero le queda media uña y quería preguntarte si tú ya sabes quitarlas o puedes recomendarme a alguien
[03/05/2026, 21:00:51] Yo: Te mando foto
[03/05/2026, 21:01:13] Yo: [Archivo adjunto]
[04/05/2026, 02:59:41] Yo: Hola hola! Cómo estás?
[04/05/2026, 03:00:45] Yo: Te cuento que mi hermana se golpeó un dedo y se le cayó media uña del pie pero le queda media uña y quería preguntarte si tú ya sabes quitarlas o puedes recomendarme a alguien
[04/05/2026, 03:00:51] Yo: Te mando foto
[04/05/2026, 03:01:13] Yo: [Archivo adjunto]
