[15/04/2026, 19:51:49] Yo: 200227248152736@lid
[16/04/2026, 01:51:49] Yo: 200227248152736@lid
[17/04/2026, 16:14:17] Yo: [Archivo adjunto]
[17/04/2026, 22:14:17] Yo: [Archivo adjunto]
[14/05/2026, 23:48:19] Yo: [Archivo adjunto]
[14/05/2026, 23:48:19] Yo: 200227248152736@lid
[15/05/2026, 22:47:47] Yo: [Archivo adjunto]
[15/05/2026, 22:47:47] Yo: 200227248152736@lid
[16/05/2026, 05:04:35] Yo: [Archivo adjunto]
[16/05/2026, 05:04:35] Yo: 200227248152736@lid
[16/05/2026, 05:10:19] Yo: [Archivo adjunto]
[16/05/2026, 05:10:19] Yo: 200227248152736@lid
[16/05/2026, 05:58:26] Yo: [Archivo adjunto]
[16/05/2026, 05:58:26] Yo: 200227248152736@lid
[16/05/2026, 22:40:54] Yo: [Archivo adjunto]
[16/05/2026, 22:40:54] Yo: 200227248152736@lid
[17/05/2026, 18:29:18] Yo: [Archivo adjunto]
[17/05/2026, 18:29:18] Yo: 200227248152736@lid
[18/05/2026, 05:19:48] Yo: [Archivo adjunto]
[18/05/2026, 05:19:48] Yo: 200227248152736@lid
