[14/05/2026, 23:48:00] Nuvma Donas Y Pasteles: Gracias a usted
[15/05/2026, 14:50:26] Nuvma Donas Y Pasteles: [Archivo adjunto]
[15/05/2026, 16:28:45] Nuvma Donas Y Pasteles: [Archivo adjunto]
[15/05/2026, 19:34:32] Nuvma Donas Y Pasteles: [Archivo adjunto]
[15/05/2026, 19:37:30] Nuvma Donas Y Pasteles: [Archivo adjunto]
[15/05/2026, 19:58:00] Nuvma Donas Y Pasteles: 🫶🏽🫶🏽🫶🏽
[15/05/2026, 22:42:13] Nuvma Donas Y Pasteles: [Archivo adjunto]
[15/05/2026, 22:47:41] Nuvma Donas Y Pasteles: Gracias a usted
[16/05/2026, 00:23:16] Nuvma Donas Y Pasteles: [Archivo adjunto]
[16/05/2026, 01:13:55] Nuvma Donas Y Pasteles: [Archivo adjunto]
[16/05/2026, 01:14:27] Nuvma Donas Y Pasteles: [Archivo adjunto]
[16/05/2026, 05:04:28] Nuvma Donas Y Pasteles: Gracias a usted
[16/05/2026, 05:10:13] Nuvma Donas Y Pasteles: Gracias a usted
