[08/10/2025, 01:56:32] Yo: 240423813537904@lid
[14/05/2026, 19:46:39] Ana Yancy: [Archivo adjunto]
[14/05/2026, 19:47:12] Ana Yancy: [Archivo adjunto]
[14/05/2026, 19:50:07] Ana Yancy: [Archivo adjunto]
[14/05/2026, 19:51:44] Ana Yancy: [Archivo adjunto]
[14/05/2026, 19:54:41] Ana Yancy: [Archivo adjunto]
[14/05/2026, 23:08:38] Ana Yancy: [Archivo adjunto]
[14/05/2026, 23:08:39] Ana Yancy: [Archivo adjunto]
[14/05/2026, 23:48:31] Yo: 240423813537904@lid
[15/05/2026, 13:29:29] Ana Yancy: [Archivo adjunto]
[15/05/2026, 13:39:19] Ana Yancy: https://youtu.be/Yvb7JkCnr2s?si=BfSseehtoiGTzpUF EXACTO ASÍ FUE
[15/05/2026, 22:47:55] Yo: 240423813537904@lid
[16/05/2026, 05:04:41] Yo: 240423813537904@lid
[16/05/2026, 05:58:33] Yo: 240423813537904@lid
[16/05/2026, 22:41:01] Yo: 240423813537904@lid
[17/05/2026, 02:23:11] Ana Yancy: [Archivo adjunto]
[17/05/2026, 02:23:32] Ana Yancy: [Archivo adjunto]
[17/05/2026, 02:23:51] Ana Yancy: [Archivo adjunto]
[17/05/2026, 02:24:19] Ana Yancy: [Archivo adjunto]
[17/05/2026, 02:25:24] Ana Yancy: [Archivo adjunto]
[17/05/2026, 02:26:07] Ana Yancy: [Archivo adjunto]
[17/05/2026, 18:29:25] Yo: 240423813537904@lid
[18/05/2026, 05:19:55] Yo: 240423813537904@lid
