[04/01/2026, 21:14:05] Yo: Si claro
[05/01/2026, 03:14:05] Yo: Si claro
[14/05/2026, 23:48:02] Yo: Si claro
[15/05/2026, 22:47:42] Yo: Si claro
[16/05/2026, 05:04:28] Yo: Si claro
[16/05/2026, 05:10:13] Yo: Si claro
[16/05/2026, 05:58:21] Yo: Si claro
[16/05/2026, 22:40:48] Yo: Si claro
[17/05/2026, 18:29:12] Yo: Si claro
[18/05/2026, 05:19:42] Yo: Si claro
[24/05/2026, 07:54:32] Alfonso Reyes Taxista testigo: 183331064918171@lid
[24/05/2026, 13:54:32] Alfonso Reyes Taxista testigo: 183331064918171@lid
