[24/02/2026, 19:49:11] Yo: 271446278463712@lid
[25/02/2026, 01:49:11] Yo: 271446278463712@lid
[13/03/2026, 08:55:21] Yo: 271446278463712@lid
[13/03/2026, 14:55:21] Yo: 271446278463712@lid
[19/03/2026, 10:09:44] Jazmin: 😂
[19/03/2026, 16:09:44] Jazmin: 😂
[14/05/2026, 23:45:32] Jazmin: 😂
[14/05/2026, 23:45:32] Yo: 271446278463712@lid
[15/05/2026, 22:47:32] Jazmin: 😂
[15/05/2026, 22:47:32] Yo: 271446278463712@lid
[16/05/2026, 05:04:19] Jazmin: 😂
[16/05/2026, 05:04:19] Yo: 271446278463712@lid
[16/05/2026, 05:09:53] Jazmin: 😂
[16/05/2026, 05:09:53] Yo: 271446278463712@lid
[16/05/2026, 05:58:11] Jazmin: 😂
[16/05/2026, 05:58:11] Yo: 271446278463712@lid
[16/05/2026, 22:40:38] Jazmin: 😂
[16/05/2026, 22:40:38] Yo: 271446278463712@lid
[17/05/2026, 18:29:02] Jazmin: 😂
[17/05/2026, 18:29:02] Yo: 271446278463712@lid
[18/05/2026, 05:19:32] Jazmin: 😂
[18/05/2026, 05:19:32] Yo: 271446278463712@lid
[29/06/2026, 08:40:06] Jazmin: 😍
