[03/11/2025, 03:25:08] Yo: 103375836295418@lid
[14/05/2026, 23:48:21] Yo: 103375836295418@lid
[15/05/2026, 19:32:20] Dra Natalia Hernández Gineco: Hola! Tenemos citas disponibles para el Domingo 17 de Mayo
[15/05/2026, 22:47:49] Yo: 103375836295418@lid
[16/05/2026, 05:04:36] Yo: 103375836295418@lid
[16/05/2026, 05:10:21] Yo: 103375836295418@lid
[16/05/2026, 05:58:28] Yo: 103375836295418@lid
[16/05/2026, 22:40:56] Yo: 103375836295418@lid
[17/05/2026, 18:29:19] Yo: 103375836295418@lid
[18/05/2026, 00:28:38] Dra Natalia Hernández Gineco: Citas disponibles Miércoles 20 de Mayo por la mañana 🌸✨
[18/05/2026, 05:19:49] Yo: 103375836295418@lid
