[14/03/2026, 18:06:52] Yo: 160511568138283@lid
[15/03/2026, 03:53:06] Yo: 203100749086772@lid
[17/03/2026, 12:40:04] Yo: 152025014747173@lid
[17/03/2026, 16:38:50] Yo: 160511568138283@lid
[17/03/2026, 18:20:35] Yo: 187174859350244@lid
[17/03/2026, 18:40:04] Yo: 152025014747173@lid
[18/03/2026, 00:20:35] Yo: 187174859350244@lid
[20/03/2026, 16:50:22] Yo: 160511568138283@lid
[20/03/2026, 22:50:22] Yo: 160511568138283@lid
[21/03/2026, 00:54:12] Yo: 166584987463730@lid
[21/03/2026, 06:54:12] Yo: 166584987463730@lid
[21/03/2026, 10:44:47] Yo: 136988049027274@lid
[21/03/2026, 16:44:47] Yo: 136988049027274@lid
[21/03/2026, 21:50:38] Yo: 136988049027274@lid
[22/03/2026, 03:50:38] Yo: 136988049027274@lid
[22/03/2026, 05:43:57] Yo: 129627062272177@lid
[22/03/2026, 11:43:57] Yo: 129627062272177@lid
[24/03/2026, 21:44:13] Yo: 96525145366604@lid
[25/03/2026, 03:44:13] Yo: 96525145366604@lid
[25/03/2026, 12:26:33] Yo: 160511568138283@lid
[25/03/2026, 18:26:33] Yo: 160511568138283@lid
[26/03/2026, 17:44:28] Yo: 54026494296307@lid
[26/03/2026, 17:44:35] Yo: 54026494296307@lid
[26/03/2026, 23:44:28] Yo: 54026494296307@lid
[26/03/2026, 23:44:35] Yo: 54026494296307@lid
[28/03/2026, 00:55:23] Yo: 67761782927419@lid
[28/03/2026, 06:55:23] Yo: 67761782927419@lid
[28/03/2026, 10:05:56] Yo: 142893561950328@lid
[28/03/2026, 10:14:07] Yo: 142893561950328@lid
[28/03/2026, 10:25:29] Yo: 142893561950328@lid
[28/03/2026, 10:26:48] Yo: 142893561950328@lid
[28/03/2026, 10:45:28] Yo: 142893561950328@lid
[28/03/2026, 16:05:56] Yo: 142893561950328@lid
[28/03/2026, 16:14:07] Yo: 142893561950328@lid
[28/03/2026, 16:25:29] Yo: 142893561950328@lid
[28/03/2026, 16:26:48] Yo: 142893561950328@lid
[28/03/2026, 16:45:28] Yo: 142893561950328@lid
[28/03/2026, 20:23:10] Yo: 161220590104806@lid
[29/03/2026, 02:23:10] Yo: 161220590104806@lid
[29/03/2026, 16:17:29] Yo: 16102268625069@lid
[29/03/2026, 18:50:11] Yo: 54026494296307@lid
[29/03/2026, 19:23:33] Yo: 16102268625069@lid
[29/03/2026, 22:17:29] Yo: 16102268625069@lid
[30/03/2026, 00:50:11] Yo: 54026494296307@lid
[30/03/2026, 01:23:33] Yo: 16102268625069@lid
[31/03/2026, 07:36:14] Yo: 105557696446518@lid
[31/03/2026, 12:59:55] Yo: 152166480273411@lid
[31/03/2026, 13:36:14] Yo: 105557696446518@lid
[31/03/2026, 18:59:55] Yo: 152166480273411@lid
[31/03/2026, 19:30:00] Yo: 105557696446518@lid
[31/03/2026, 22:27:30] Yo: 136988049027274@lid
[01/04/2026, 01:30:00] Yo: 105557696446518@lid
[01/04/2026, 04:27:30] Yo: 136988049027274@lid
