[16/03/2026, 00:52:57] Yo: [Archivo adjunto]
[22/04/2026, 23:21:38] Yo: Hola! Dónde vendes?
[22/04/2026, 23:26:02] Fabi Churros: Hola buenas tardes
[22/04/2026, 23:26:48] Fabi Churros: [Archivo adjunto]
[22/04/2026, 23:27:15] Fabi Churros: En la cancha de santa maría
[22/04/2026, 23:28:05] Yo: Yo vivo cerca de la cancha, a lado de doña Vicky que vende chamoyadas, calle Crisantemos
[22/04/2026, 23:28:13] Yo: Te puedo encargar 3 bolsas?
[22/04/2026, 23:28:57] Fabi Churros: Claro
[22/04/2026, 23:29:41] Fabi Churros: Entonces nos vemos en la cancha
[22/04/2026, 23:29:50] Yo: Ya vas para allá?
[22/04/2026, 23:30:08] Fabi Churros: Si ya
[22/04/2026, 23:30:12] Yo: Ok
[22/04/2026, 23:33:16] Yo: Va mi hijo
[22/04/2026, 23:33:23] Yo: Lleva un short y camiseta azul
[14/05/2026, 23:42:12] Yo: Lleva un short y camiseta azul
[14/05/2026, 23:42:12] Yo: Va mi hijo
[14/05/2026, 23:42:12] Yo: Ok
[14/05/2026, 23:42:12] Fabi Churros: Si ya
[14/05/2026, 23:42:12] Yo: Ya vas para allá?
[14/05/2026, 23:42:12] Fabi Churros: Entonces nos vemos en la cancha
[14/05/2026, 23:42:12] Fabi Churros: Claro
[14/05/2026, 23:42:12] Yo: Te puedo encargar 3 bolsas?
[14/05/2026, 23:42:12] Yo: Yo vivo cerca de la cancha, a lado de doña Vicky que vende chamoyadas, calle Crisantemos
[14/05/2026, 23:42:12] Fabi Churros: En la cancha de santa maría
[14/05/2026, 23:42:12] Fabi Churros: [Archivo adjunto]
[14/05/2026, 23:42:12] Fabi Churros: Hola buenas tardes
[14/05/2026, 23:42:12] Yo: Hola! Dónde vendes?
[14/05/2026, 23:42:12] Yo: [Archivo adjunto]
[15/05/2026, 22:47:24] Yo: Lleva un short y camiseta azul
[15/05/2026, 22:47:24] Yo: Va mi hijo
[15/05/2026, 22:47:24] Yo: Ok
[15/05/2026, 22:47:24] Fabi Churros: Si ya
[15/05/2026, 22:47:24] Yo: Ya vas para allá?
[15/05/2026, 22:47:24] Fabi Churros: Entonces nos vemos en la cancha
[15/05/2026, 22:47:24] Fabi Churros: Claro
[15/05/2026, 22:47:24] Yo: Te puedo encargar 3 bolsas?
[15/05/2026, 22:47:24] Yo: Yo vivo cerca de la cancha, a lado de doña Vicky que vende chamoyadas, calle Crisantemos
[15/05/2026, 22:47:24] Fabi Churros: En la cancha de santa maría
[15/05/2026, 22:47:24] Fabi Churros: [Archivo adjunto]
[15/05/2026, 22:47:24] Fabi Churros: Hola buenas tardes
[15/05/2026, 22:47:24] Yo: Hola! Dónde vendes?
[15/05/2026, 22:47:24] Yo: [Archivo adjunto]
[16/05/2026, 05:04:11] Yo: Lleva un short y camiseta azul
[16/05/2026, 05:04:11] Yo: Va mi hijo
[16/05/2026, 05:04:11] Yo: Ok
[16/05/2026, 05:04:11] Fabi Churros: Si ya
[16/05/2026, 05:04:11] Yo: Ya vas para allá?
[16/05/2026, 05:04:11] Fabi Churros: Entonces nos vemos en la cancha
[16/05/2026, 05:04:11] Fabi Churros: Claro
[16/05/2026, 05:04:11] Yo: Te puedo encargar 3 bolsas?
